teks,entitas
Neymar Jr. dan Anggun C. Sasmi kompak hadir dalam acara itu.,"[{""start"": 0, ""end"": 10, ""label"": ""PER""}, {""start"": 15, ""end"": 30, ""label"": ""PER""}]"
KOST SEMUA DIUNDANG UNTUK HADIR DALAM ACARA TERSEBUT.,[]
"Surat untuk Faisal Rahman, S.E., Ak., CA. dialamatkan ke Gg. Mangga Dua No. 46B, Balikpapan.","[{""start"": 12, ""end"": 41, ""label"": ""PER""}, {""start"": 57, ""end"": 91, ""label"": ""ADR""}]"
Kantor cabang baru akan dibuka di Balikpapan.,[]
Proyek ini dipimpin langsung oleh Steve Jobs.,"[{""start"": 34, ""end"": 44, ""label"": ""PER""}]"
Apakah kamu sudah menghubungi Fajar Nugraha hari ini?,"[{""start"": 30, ""end"": 43, ""label"": ""PER""}]"
"KTP atas nama Megawati Soekarnoputri beralamat di Jl. Merdeka No. 172A, RT 06/RW 12, Kel. Antapani, Kec. Sukasari, Medan, Jawa Tengah, 36807.","[{""start"": 14, ""end"": 36, ""label"": ""PER""}, {""start"": 50, ""end"": 140, ""label"": ""ADR""}]"
"NAMA LENGKAP: BASUKI RAHMAT
ALAMAT: JALAN RAJAWALI NO. 48, DENPASAR.","[{""start"": 14, ""end"": 27, ""label"": ""PER""}, {""start"": 36, ""end"": 67, ""label"": ""ADR""}]"
"Menurut Kim Jong-un, Google perlu dievaluasi ulang.","[{""start"": 8, ""end"": 19, ""label"": ""PER""}]"
Kantor pusatnya berlokasi di Indonesia.,[]
Banyak pihak yang setuju dengan analisis Rina Nose mengenai krisis ekonomi.,"[{""start"": 41, ""end"": 50, ""label"": ""PER""}]"
"Nama Lengkap: Gatot Subroto
Alamat: Jalan Kenanga No. 57A, RT 08/RW 12, Kel. Cihapit, Palembang.","[{""start"": 14, ""end"": 27, ""label"": ""PER""}, {""start"": 36, ""end"": 95, ""label"": ""ADR""}]"
"GATOT SUBROTO, SELAKU KEPALA SEKOLAH, HADIR DALAM KONFERENSI PERS.","[{""start"": 0, ""end"": 13, ""label"": ""PER""}]"
"Kantor kami beralamat di Jalan Ahmad Dahlan No. 27B, RT 19/RW 02, Desa Cibogo, Bekasi.","[{""start"": 25, ""end"": 85, ""label"": ""ADR""}]"
Jangan lupa undang Dra. Kartini Rahayu ke acara ulang tahun minggu depan.,"[{""start"": 19, ""end"": 38, ""label"": ""PER""}]"
BAIK GATOT SUBROTO MAUPUN B.J. HABIBIE BELUM MEMBERIKAN KOMENTAR.,"[{""start"": 5, ""end"": 18, ""label"": ""PER""}, {""start"": 26, ""end"": 38, ""label"": ""PER""}]"
"Prof. Dr. Ing. B.J. Habibie baru saja pindah ke Apartemen Green Pramuka City Tower B Lantai 8, Manado.","[{""start"": 0, ""end"": 27, ""label"": ""PER""}, {""start"": 48, ""end"": 101, ""label"": ""ADR""}]"
Hakim Ketua Cak Lontong meresmikan acara tersebut.,"[{""start"": 12, ""end"": 23, ""label"": ""PER""}]"
Kemarin saya pergi ke Belitung untuk urusan pekerjaan.,[]
Kost hadir dalam acara itu belum dikonfirmasi panitia.,[]
CUACA EKSTREM DIPERKIRAKAN LANDA JAKARTA PEKAN INI.,[]
"Ketua DPR RI, AKBP Ade Safri Simanjuntak, meresmikan acara tersebut.","[{""start"": 14, ""end"": 40, ""label"": ""PER""}]"
"Di antara peserta terdapat Bernard Arnault, Bill Gates, Boris Johnson, dan drh. Bimo Prakoso.","[{""start"": 27, ""end"": 42, ""label"": ""PER""}, {""start"": 44, ""end"": 54, ""label"": ""PER""}, {""start"": 56, ""end"": 69, ""label"": ""PER""}, {""start"": 75, ""end"": 92, ""label"": ""PER""}]"
"Di antara peserta terdapat Tio, Dini Imaniar, Eko, dan Buya Hamka.","[{""start"": 27, ""end"": 30, ""label"": ""PER""}, {""start"": 32, ""end"": 44, ""label"": ""PER""}, {""start"": 46, ""end"": 49, ""label"": ""PER""}, {""start"": 55, ""end"": 65, ""label"": ""PER""}]"
"Menurut Cristiano Ronaldo dan Faisal Rahman, S.E., Ak., CA., kebijakan ini perlu direvisi.","[{""start"": 8, ""end"": 25, ""label"": ""PER""}, {""start"": 30, ""end"": 59, ""label"": ""PER""}]"
Kami sudah lama menetap di Jakarta.,[]
Lengkap hadir dalam acara itu belum dikonfirmasi panitia.,[]
Gagasan yang dikemukakan oleh Dian Sastrowardoyo memicu perdebatan panjang.,"[{""start"": 30, ""end"": 48, ""label"": ""PER""}]"
Sudirman bertemu dengan rekannya di Tesla.,"[{""start"": 0, ""end"": 8, ""label"": ""PER""}]"
Made adalah salah satu tokoh penting dalam sejarah.,"[{""start"": 0, ""end"": 4, ""label"": ""PER""}]"
"Nama: Sri Sultan Hamengkubuwono X, Alamat: Gg. Cemara No. 126, RT 17/RW 08, Desa Sukamaju, Kec. Cimahi Utara, Denpasar, Kalimantan Timur, 65413.","[{""start"": 6, ""end"": 33, ""label"": ""PER""}, {""start"": 43, ""end"": 143, ""label"": ""ADR""}]"
"PAKET UNTUK AHMAD DAHLAN DIKIRIM KE 8 BAKER AVENUE, TOKYO, 89772, JEPANG.","[{""start"": 12, ""end"": 24, ""label"": ""PER""}, {""start"": 36, ""end"": 72, ""label"": ""ADR""}]"
@TIO BARU SAJA MENGUNGGAH FOTO LIBURANNYA.,"[{""start"": 1, ""end"": 4, ""label"": ""PER""}]"
"Ia baru saja pindah ke Jl. Mawar No. 110A, Depok.","[{""start"": 23, ""end"": 48, ""label"": ""ADR""}]"
Kami bukan bagian dari agenda rapat kali ini.,[]
Fajar berada di lokasi yang sudah ditentukan.,[]
"Mark Zuckerberg, selaku Pembawa Acara, hadir dalam konferensi pers.","[{""start"": 0, ""end"": 15, ""label"": ""PER""}]"
"Menurut laporan, Balikpapan mengalami peningkatan signifikan.",[]
"Kost berada di Jl. Cempaka Putih No. 120A, RT 02/RW 03, Kel. Antapani, Kec. Buah Batu, Bogor, DKI Jakarta, 32337.","[{""start"": 15, ""end"": 112, ""label"": ""ADR""}]"
"Pembawa Acara, Diponegoro, meresmikan acara tersebut.","[{""start"": 15, ""end"": 25, ""label"": ""PER""}]"
"Rangga Pratama, S.Kom., M.Kom. resmi menjabat sebagai Panglima TNI mulai bulan depan.","[{""start"": 0, ""end"": 30, ""label"": ""PER""}]"
"Tim tersebut beranggotakan Prof. Dr. Ing. B.J. Habibie, Angela Merkel, R.M. Said Prawirosoedirdjo, dan Prof. Ir. Bambang Permadi Soemantri Brodjonegoro, M.Sc..","[{""start"": 27, ""end"": 54, ""label"": ""PER""}, {""start"": 56, ""end"": 69, ""label"": ""PER""}, {""start"": 71, ""end"": 97, ""label"": ""PER""}, {""start"": 103, ""end"": 158, ""label"": ""PER""}]"
"Halo semua, nama gue Kennedy, salam kenal ya!","[{""start"": 21, ""end"": 28, ""label"": ""PER""}]"
Nomor kontak yang bisa dihubungi adalah Bank Woori Saudara.,[]
"Anthony Albanese menegaskan, ""kami akan terus berusaha.""","[{""start"": 0, ""end"": 16, ""label"": ""PER""}]"
"Panglima TNI, Michael McDonald, meresmikan acara tersebut.","[{""start"": 14, ""end"": 30, ""label"": ""PER""}]"
"KTP menunjukkan alamat di 442 Wall Lane, London, YI7 1CQ, Inggris.","[{""start"": 26, ""end"": 65, ""label"": ""ADR""}]"
"Menurut Rektor Universitas Indonesia Budi, kebijakan ini akan segera direvisi.","[{""start"": 37, ""end"": 41, ""label"": ""PER""}]"
"Kemarin saya bertemu dengan Bambang Permadi Soemantri Brodjonegoro, M.Sc. di stasiun.","[{""start"": 28, ""end"": 73, ""label"": ""PER""}]"
Eko Yuli Irawan menghadiri rapat mengenai London pagi ini.,"[{""start"": 0, ""end"": 15, ""label"": ""PER""}]"
Rishi Sunak resmi menjabat sebagai CEO Tesla mulai bulan depan.,"[{""start"": 0, ""end"": 11, ""label"": ""PER""}]"
"Sesuai catatan sipil, domisili tercatat di Apartemen Kalibata City Tower Melati Lantai 10, Yogyakarta.","[{""start"": 43, ""end"": 101, ""label"": ""ADR""}]"
Pihak kepolisian masih memeriksa Zinedine Zidane sebagai saksi utama.,"[{""start"": 33, ""end"": 48, ""label"": ""PER""}]"
Apakah kamu sudah menghubungi Dr. Andi Wijaya hari ini?,"[{""start"": 30, ""end"": 45, ""label"": ""PER""}]"
"RUMAH BELIAU BERADA DI 377 OXFORD BOULEVARD, NEW YORK, AMERIKA SERIKAT.","[{""start"": 23, ""end"": 70, ""label"": ""ADR""}]"
"Nama: Puan Maharani, Alamat: Gang Cemara No. 24B, RT 12/RW 08, Kel. Tegalsari, Bogor.","[{""start"": 6, ""end"": 19, ""label"": ""PER""}, {""start"": 29, ""end"": 84, ""label"": ""ADR""}]"
Bernard Arnault menghadiri rapat mengenai Balikpapan pagi ini.,"[{""start"": 0, ""end"": 15, ""label"": ""PER""}]"
"Rektor Universitas Indonesia, Simone Biles, meresmikan acara tersebut.","[{""start"": 30, ""end"": 42, ""label"": ""PER""}]"
"Rapat RT akan diadakan di 765 King Boulevard, Singapura, 10123, Singapura.","[{""start"": 26, ""end"": 73, ""label"": ""ADR""}]"
"Winston Churchill, selaku Pelukis, hadir dalam konferensi pers.","[{""start"": 0, ""end"": 17, ""label"": ""PER""}]"
"Saya punya saudara di jakarta namanya dr. Tirta Mandira Hudhi, M.Ked..","[{""start"": 38, ""end"": 69, ""label"": ""PER""}]"
Yang berada di lokasi yang sudah ditentukan.,[]
"SURAT UNTUK ERICK THOHIR DIALAMATKAN KE JALAN CEMPAKA PUTIH NO. 95A, RT 08/RW 20, KEL. TEGALSARI, MALANG.","[{""start"": 12, ""end"": 24, ""label"": ""PER""}, {""start"": 40, ""end"": 104, ""label"": ""ADR""}]"
"KTP atas nama Imam Bonjol beralamat di Jalan Sudirman No. 54, RT 16/RW 05, Kel. Gubeng, Kec. Tegalsari, Manado, Sulawesi Selatan, 47050.","[{""start"": 14, ""end"": 25, ""label"": ""PER""}, {""start"": 39, ""end"": 135, ""label"": ""ADR""}]"
"Silakan kirim paket ke Gang Kebon Jeruk No. 185, Tangerang.","[{""start"": 23, ""end"": 58, ""label"": ""ADR""}]"
Apakah kamu sudah menghubungi Rian hari ini?,"[{""start"": 30, ""end"": 34, ""label"": ""PER""}]"
Vladimir Putin bertemu dengan rekannya di Rp1.000.000.,"[{""start"": 0, ""end"": 14, ""label"": ""PER""}]"
"Peserta pelatihan meliputi Irfan Hakim, Wati, dan Ahmad Dahlan dari kantor cabang.","[{""start"": 27, ""end"": 38, ""label"": ""PER""}, {""start"": 40, ""end"": 44, ""label"": ""PER""}, {""start"": 50, ""end"": 62, ""label"": ""PER""}]"
Nyoman resmi menjabat sebagai Ketua DPR RI mulai bulan depan.,"[{""start"": 0, ""end"": 6, ""label"": ""PER""}]"
Beyoncé berangkat ke kantor pagi ini.,"[{""start"": 0, ""end"": 7, ""label"": ""PER""}]"
"Menurut Kapolri Mahatma Gandhi, kebijakan ini akan segera direvisi.","[{""start"": 16, ""end"": 30, ""label"": ""PER""}]"
Apakah benar Rudi akan datang ke konferensi besok?,"[{""start"": 13, ""end"": 17, ""label"": ""PER""}]"
Kost hadir dalam acara itu belum dikonfirmasi panitia.,[]
"Yang hadir dalam pertemuan itu adalah Jean-Pierre Dubois, Kanjeng Gusti Pangeran Adipati Arya Mangkunegara IX, dan Gatot Subroto.","[{""start"": 38, ""end"": 56, ""label"": ""PER""}, {""start"": 58, ""end"": 109, ""label"": ""PER""}, {""start"": 115, ""end"": 128, ""label"": ""PER""}]"
"KTP menunjukkan alamat di Gang Mawar, RT 09/RW 15, Kel. Menteng, Surabaya.","[{""start"": 26, ""end"": 73, ""label"": ""ADR""}]"
Teori yang diusulkan oleh Pramoedya Ananta Toer telah dipatahkan oleh penemuan baru.,"[{""start"": 26, ""end"": 47, ""label"": ""PER""}]"
Tio resmi menjabat sebagai CEO Tesla mulai bulan depan.,"[{""start"": 0, ""end"": 3, ""label"": ""PER""}]"
Ia baru saja pindah ke Jawa Tengah.,[]
Kami sedang menunggu tanda tangan dari Leonardo DiCaprio untuk mencairkan dana.,"[{""start"": 39, ""end"": 56, ""label"": ""PER""}]"
Michael Jordan adalah gubernur jawa barat.,"[{""start"": 0, ""end"": 14, ""label"": ""PER""}]"
"Paket untuk Agnez Mo dikirim ke 396 Wall Lane, Paris, Prancis.","[{""start"": 12, ""end"": 20, ""label"": ""PER""}, {""start"": 32, ""end"": 61, ""label"": ""ADR""}]"
"Barack Obama, Puan Maharani, serta Budi Gunadi Sadikin kompak hadir dalam acara itu.","[{""start"": 0, ""end"": 12, ""label"": ""PER""}, {""start"": 14, ""end"": 27, ""label"": ""PER""}, {""start"": 35, ""end"": 54, ""label"": ""PER""}]"
"Panitia mengundang Komang, Megawati Soekarnoputri, dan Bernard Arnault sebagai narasumber.","[{""start"": 19, ""end"": 25, ""label"": ""PER""}, {""start"": 27, ""end"": 49, ""label"": ""PER""}, {""start"": 55, ""end"": 70, ""label"": ""PER""}]"
"""Ini adalah langkah yang tepat,"" tutur Kartika Sari, Sp.KG kepada wartawan.","[{""start"": 39, ""end"": 58, ""label"": ""PER""}]"
"Rumah kost berada di Dusun Karangasem RT 06/RW 10, Kel. Sukajadi, Kec. Coblong, Kab. Cirebon.","[{""start"": 21, ""end"": 92, ""label"": ""ADR""}]"
Kemarin saya bertemu dengan Sri Sultan Hamengkubuwono X di New York.,"[{""start"": 28, ""end"": 55, ""label"": ""PER""}]"
@justintrudeau membagikan update terbaru di akunnya.,"[{""start"": 1, ""end"": 14, ""label"": ""PER""}]"
MARIE CURIE ADALAH GUBERNUR JAWA BARAT.,"[{""start"": 0, ""end"": 11, ""label"": ""PER""}]"
"Albert Einstein, selaku Perdana Menteri Inggris, hadir dalam konferensi pers.","[{""start"": 0, ""end"": 15, ""label"": ""PER""}]"
"Daftar penerima meliputi Prabowo Subianto, K.H. Ma'ruf Amin, dan drg. Maya Kusuma dari divisi terkait.","[{""start"": 25, ""end"": 41, ""label"": ""PER""}, {""start"": 43, ""end"": 59, ""label"": ""PER""}, {""start"": 65, ""end"": 81, ""label"": ""PER""}]"
"Diponegoro baru saja pindah ke Gg. Imam Bonjol No. 57, RT 18/RW 16, Kel. Cihapit, Manado.","[{""start"": 0, ""end"": 10, ""label"": ""PER""}, {""start"": 31, ""end"": 88, ""label"": ""ADR""}]"
Kost mulai terlihat sejak dini hari.,[]
"Paket untuk Kartika Sari, Sp.KG dikirim ke Gang Ahmad Dahlan No. 190A, RT 13/RW 14, Kel. Cihapit, Medan.","[{""start"": 12, ""end"": 31, ""label"": ""PER""}, {""start"": 43, ""end"": 103, ""label"": ""ADR""}]"
"Menurut Jacinda Ardern, Bogor perlu dievaluasi ulang.","[{""start"": 8, ""end"": 22, ""label"": ""PER""}]"
"Alamat saya di Jl. Kebon Jeruk No. 125, Surabaya.","[{""start"": 15, ""end"": 48, ""label"": ""ADR""}]"
Jangan lupa follow @abdurrahmanwahid untuk info terkini.,"[{""start"": 20, ""end"": 36, ""label"": ""PER""}]"
"Rapat RT akan diadakan di Jl. Flamboyan No. 17B, RT 18/RW 11, Desa Sukamaju, Kec. Menteng, Malang, Bali, 59112.","[{""start"": 26, ""end"": 110, ""label"": ""ADR""}]"
Dokumen itu merujuk pada Depok.,[]
Laporan tersebut telah dikirimkan langsung ke meja Sri Mulyani.,"[{""start"": 51, ""end"": 62, ""label"": ""PER""}]"
Surat dari Shah Rukh Khan membahas rencana terkait Bekasi.,"[{""start"": 11, ""end"": 25, ""label"": ""PER""}]"
Nomor kontak Diponegoro bisa dihubungi melalui Bank Mandiri.,"[{""start"": 13, ""end"": 23, ""label"": ""PER""}]"
Kost semua diundang untuk hadir dalam acara tersebut.,[]
"Kost berada di 216 Orchard Drive, New York, 56280, Amerika Serikat.","[{""start"": 15, ""end"": 66, ""label"": ""ADR""}]"
"KTP menunjukkan alamat di Gang Kebon Jeruk, RT 17/RW 08, Desa Cibogo, Bogor.","[{""start"": 26, ""end"": 75, ""label"": ""ADR""}]"
Penghargaan Nobel tahun ini jatuh kepada Putri atas dedikasinya.,"[{""start"": 41, ""end"": 46, ""label"": ""PER""}]"
"Menurut Kepala Sekolah Gatot Subroto, kebijakan ini akan segera direvisi.","[{""start"": 23, ""end"": 36, ""label"": ""PER""}]"
Jangan lupa follow @fajar untuk info terkini.,"[{""start"": 20, ""end"": 25, ""label"": ""PER""}]"
Narendra Modi bekerja di 17 Agustus 1945.,"[{""start"": 0, ""end"": 13, ""label"": ""PER""}]"
"Menurut Neymar Jr. dan Guillermo del Toro, kebijakan ini perlu direvisi.","[{""start"": 8, ""end"": 18, ""label"": ""PER""}, {""start"": 23, ""end"": 41, ""label"": ""PER""}]"
Gagasan yang dikemukakan oleh Dewi memicu perdebatan panjang.,"[{""start"": 30, ""end"": 34, ""label"": ""PER""}]"
"Rapat RT akan diadakan di Gg. Merdeka No. 160A, RT 09/RW 15, Desa Sukamaju, Kec. Menteng, Jakarta, DKI Jakarta, 56878.","[{""start"": 26, ""end"": 117, ""label"": ""ADR""}]"
"Rapat RT akan diadakan di Jl. Mangga Dua, RT 13/RW 10, Kel. Gubeng, Kec. Tegalsari, Bekasi, Jawa Tengah, 29603.","[{""start"": 26, ""end"": 110, ""label"": ""ADR""}]"
"""Medan adalah prioritas kita,"" kata Rishi Sunak.","[{""start"": 36, ""end"": 47, ""label"": ""PER""}]"
"Sukaryo tinggal di Gang Imam Bonjol No. 133B, RT 17/RW 09, Kel. Sukajadi, Kec. Menteng, Tangerang, Kalimantan Timur, 19070.","[{""start"": 0, ""end"": 7, ""label"": ""PER""}, {""start"": 19, ""end"": 122, ""label"": ""ADR""}]"
"NAMA: WARREN BUFFETT, ALAMAT: JALAN GATOT SUBROTO NO. 156A, BEKASI.","[{""start"": 6, ""end"": 20, ""label"": ""PER""}, {""start"": 30, ""end"": 66, ""label"": ""ADR""}]"
"Alamat saya di 274 Churchill Street, Dubai, 25362, Uni Emirat Arab.","[{""start"": 15, ""end"": 66, ""label"": ""ADR""}]"
"Tim tersebut beranggotakan Prof. Dr. Ing. B.J. Habibie, Gusti Kanjeng Ratu Hemas, dan Anne-Marie Laurent.","[{""start"": 27, ""end"": 54, ""label"": ""PER""}, {""start"": 56, ""end"": 80, ""label"": ""PER""}, {""start"": 86, ""end"": 104, ""label"": ""PER""}]"
"NAMA: DEWI ANGGRAINI, S.PSI., PSIKOLOG, ALAMAT: PERUMAHAN GRIYA ASRI BLOK B8 NO. 38, YOGYAKARTA.","[{""start"": 6, ""end"": 38, ""label"": ""PER""}, {""start"": 48, ""end"": 95, ""label"": ""ADR""}]"
Fatima binti Muhammad berangkat ke kantor pagi ini.,"[{""start"": 0, ""end"": 21, ""label"": ""PER""}]"
KEMARIN MOBILNYA DRG. MAYA KUSUMA MOGOK DI JALAN TOL.,"[{""start"": 17, ""end"": 33, ""label"": ""PER""}]"
"Nama Lengkap: Tubagus Chasan Sochib
Alamat: Jl. Kebon Jeruk No. 119, RT 06/RW 13, Kel. Tegalsari, Kec. Gubeng, Medan, Sumatera Utara, 36741.","[{""start"": 14, ""end"": 35, ""label"": ""PER""}, {""start"": 44, ""end"": 139, ""label"": ""ADR""}]"
"Jefferson tinggal di Jalan Anggrek No. 60, Yogyakarta.","[{""start"": 0, ""end"": 9, ""label"": ""PER""}, {""start"": 21, ""end"": 53, ""label"": ""ADR""}]"
"Pembawa Acara, Ebiet G. Ade, meresmikan acara tersebut.","[{""start"": 15, ""end"": 27, ""label"": ""PER""}]"
"Surat untuk Donald Trump dialamatkan ke Gang Mawar No. 44A, RT 06/RW 09, Kel. Gubeng, Balikpapan.","[{""start"": 12, ""end"": 24, ""label"": ""PER""}, {""start"": 40, ""end"": 96, ""label"": ""ADR""}]"
Tolong sampaikan pesan ini kepada B.J. Habibie secepatnya.,"[{""start"": 34, ""end"": 46, ""label"": ""PER""}]"
Agus Harimurti Yudhoyono menghadiri rapat mengenai COVID-19 pagi ini.,"[{""start"": 0, ""end"": 24, ""label"": ""PER""}]"
Surat dari Fitri membahas rencana terkait Manado.,"[{""start"": 11, ""end"": 16, ""label"": ""PER""}]"
"Menurut Anies Baswedan dan Fajar, kebijakan ini perlu direvisi.","[{""start"": 8, ""end"": 22, ""label"": ""PER""}, {""start"": 27, ""end"": 32, ""label"": ""PER""}]"
"Putri, Zinedine Zidane, serta Yudi kompak hadir dalam acara itu.","[{""start"": 0, ""end"": 5, ""label"": ""PER""}, {""start"": 7, ""end"": 22, ""label"": ""PER""}, {""start"": 30, ""end"": 34, ""label"": ""PER""}]"
Penyanyi Ganjar Pranowo menyampaikan pernyataan resmi kemarin.,"[{""start"": 9, ""end"": 23, ""label"": ""PER""}]"
"Dalam konferensi persnya, Gusti Kanjeng Ratu Hemas menolak memberikan komentar.","[{""start"": 26, ""end"": 50, ""label"": ""PER""}]"
Kami bukan bagian dari agenda rapat kali ini.,[]
"KTP atas nama Joe Taslim beralamat di Jl. Kebon Jeruk No. 103, Makassar.","[{""start"": 14, ""end"": 24, ""label"": ""PER""}, {""start"": 38, ""end"": 71, ""label"": ""ADR""}]"
"Nama: Megawati Soekarnoputri, Alamat: Jalan Mangga Dua No. 116A, RT 15/RW 20, Kel. Gubeng, Kec. Menteng, Surabaya, DKI Jakarta, 84317.","[{""start"": 6, ""end"": 28, ""label"": ""PER""}, {""start"": 38, ""end"": 133, ""label"": ""ADR""}]"
Proyek ini dipimpin langsung oleh Anne-Marie Laurent.,"[{""start"": 34, ""end"": 52, ""label"": ""PER""}]"
"KTP menunjukkan alamat di Gang Rajawali, RT 04/RW 13, Kel. Sukajadi, Bekasi.","[{""start"": 26, ""end"": 75, ""label"": ""ADR""}]"
Surat dari Gatot Subroto membahas rencana terkait Jakarta.,"[{""start"": 11, ""end"": 24, ""label"": ""PER""}]"
